"date","BCPBAB","BGVDEL","BGVFED","BGVFID","BGVLAB","BGVVAL","BHYAIM","BHYCOL","BINLOO","BMGLEX","BMMVAN","MBLAIM","MBLALL","MBLAMB","MBLCOM","MBLD.C","MBLEAV","MBLFID","MTRCAL","MTRPIL","MTRPUT","SAGAIM","SAGPUT","SAGVAL","SEIAMN","SEIFID","SEIOPP","SEISCO","SEIUNI","SGRMAT","SGRPHX","SGRSEL","SGRSEQ","SGRVAN","SINFID","SINSCD","SINTMP","SINTRP","SINUNI","SMKDFA","SMKVAN","SSS20C","SSSACN","SSSTRP","SSSVAN","S.P.500","CRSP.VW","CRSP.EW","CRSP.SC","TBILL","CORP.BD","GOVT.BD","MTG.BD","HIYLD.BD","FFMKT","FFSMB","FFHML"
199410,-0.74,-0.129,-0.009,-0.389,-0.351,-0.37,0.205,-0.124,0.31,-0.278,0.39,1.118,0.91,0.41,0.436,1.371,0.875,-1.181,-0.035,3.521,-0.105,3.33,2.502,2.354,0.846,0.939,0,-0.174,2.308,-1.65,2.115,2.941,3.449,2.492,0.979,2.332,1.39,1.905,3.289,1.151,2.247,4.494,-0.373,2.667,0.305,2.265,1.453,-0.857,-1.442,0.384,-0.195,-0.395,-0.027,0.019,1.78,-2.32,-1.97
199411,-0.061,-0.116,-0.599,-0.089,0.019,-1.115,-1.098,-0.901,1.24,-0.307,0.4,-3.513,-2.104,-1.389,-2.168,-2.383,-2.102,-1.434,-2.566,-4.777,-3.351,-4.697,-4.068,-1.84,-2.844,-4.109,-3.292,-3.542,-4.828,-5.537,-3.39,-3.619,-4.576,-2.111,-3.023,-5.944,-3.617,-4.439,-5.174,-3.264,-3.655,-4.064,-3.892,-4.23,-2.892,-3.625,-3.733,-3.905,-3.903,0.369,-0.25,-0.129,-0.36,-1.098,-3.62,-0.41,0.3
199412,0.619,0.127,0.148,0.653,0.792,0.424,0.044,0.828,-0.1,1.138,0.46,0.776,0.217,0.827,1.113,1.034,0.894,0.083,0.959,2.041,0.434,1.588,2.146,0.323,1.136,0.863,-0.136,0.753,0.095,0.536,0.446,-0.04,0.282,1.371,0.385,-0.907,-1.658,-1.647,-3.637,0.024,1.461,1.573,-0.361,2.263,1.554,1.498,1.475,0.389,0.542,0.443,0.877,1.12,0.829,1.122,1.33,0.3,-1.03
199501,0.612,1.132,1.568,1.878,1.561,1.521,1.109,0.982,-0.61,1.957,0.47,0.137,1.936,2.25,1.699,1.77,1.034,0,1.722,2.806,0.759,-1.92,0.26,-2.105,2.646,0.619,1.532,2.539,0,3.597,1.837,0.661,10.146,2.805,-3.388,-5.128,-1.701,-5.919,-6.068,2.827,2.583,-2.957,-1.879,0.068,-0.303,2.599,2.36,0.98,2.354,0.416,2.12,2.292,2.238,1.444,2.25,-1.65,4.9
199502,2.639,1.109,1.892,2.333,2.327,2.154,3.341,2.569,-0.2,3.23,0.44,3.347,3.116,3.035,2.99,3.651,3.884,2.197,3.175,5.216,2.665,5.516,4.416,5.187,3.402,3.723,3.341,3.125,3.728,2.951,2.505,1.969,-1.715,3.807,0.689,0.862,1.384,0.845,-1.292,2.52,3.879,4.442,3.247,4.875,3.276,3.932,3.749,2.875,2.488,0.398,2.7,3.001,2.549,3.332,4.02,-1.14,-1.5
199503,0.593,0.581,0.56,0.555,0.34,0.733,0.862,0.652,-2.16,0.242,0.5,2.518,1.255,2,2.431,2.24,2.415,1.682,1.778,3.176,2.674,4.609,3.317,3.728,1.888,2.516,2.107,2.836,3.52,4.047,3.275,1.931,2.114,2.384,5.721,2.822,0.796,4.283,-0.131,1.453,2.953,3.215,1.452,4.648,2.447,2.941,2.664,1.661,0.327,0.413,0.813,0.72,0.408,1.036,2.64,-0.14,-2.78
199504,1.26,0.573,1.023,1.247,1.098,1.109,2.497,2.37,4.51,1.316,0.48,3.117,2.196,1.725,2.525,2.363,2.358,1.028,2.436,1.952,2.061,2.311,0.562,-0.754,2.17,3.283,2.378,2.137,3.323,-0.162,1.751,1.263,-1.174,3.701,1.824,4.783,3.386,4.018,7.208,3.524,2.941,2.827,1.113,1.172,0.796,2.951,2.368,2.466,2.445,0.445,1.625,1.697,1.341,2.347,2.59,-0.35,1.51
199505,3.907,1.673,2.681,3.988,2.986,3.108,2.028,2.179,6.02,2.142,0.5,4.345,3.94,3.184,3.448,4.638,3.94,1.878,2.18,1.841,2.675,3.046,1.756,1.285,2.606,3.268,3.636,2.919,3.991,4.058,3.209,3.326,5.294,3.512,-1.271,0.721,2.293,0.687,2.2,2.979,3.954,2.004,3.066,2.378,1.185,3.998,3.572,2.591,2.884,0.536,4.726,5.49,3.24,2.978,3.46,-2.36,1.91
199506,0.564,0.53,0.51,0.701,0.335,0.623,0.201,0.484,-1.136,0.587,0.47,3.178,2.132,0.831,2.022,0.85,1.579,1.091,2.455,1.446,1.81,8.257,5.804,8.651,1.696,1.501,1.074,1.236,4.515,7.332,4.455,2.616,1.4,2.948,0.234,1.431,0.427,0,4.073,5.682,2.311,9.822,4.043,9.053,4.576,2.415,2.193,2.397,2.509,0.471,0.799,1.134,0.531,0.709,3.07,2.92,-3.5
199507,-0.064,0.182,0.14,-0.39,-0.05,0.089,1.804,1.687,2.68,0.376,0.48,4.181,2.307,1.798,2.041,2.169,2.202,1.46,1.43,2.423,3.226,9.793,6.894,8.28,2.84,3.546,2.537,3.902,4.648,1.599,4.506,5.49,1.781,2.107,5.896,5.95,4.57,5.541,7.143,6.452,3.304,10.566,4.859,9.339,5.019,3.357,3.416,3.516,3.276,0.452,-0.389,-0.858,0.198,1.203,4.1,2.41,-3.09
